"Observation station","Year","Month","Day","Time [Local time]","Cloud cover [1/8]"
"Siilinjärvi Kuopio airport","2004","10","22","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","10","23","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","10","24","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","10","25","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","10","26","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","10","27","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","10","28","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","10","29","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","10","30","00:00","Cloudiness cannot be determined (9/8)"
"Siilinjärvi Kuopio airport","2004","10","31","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","11","1","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","11","2","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","11","3","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","11","4","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","11","5","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","11","6","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","11","7","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","11","8","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","11","9","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","11","10","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","11","11","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","11","12","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","11","13","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","11","14","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","11","15","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","11","16","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","11","17","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","11","18","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","11","19","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","11","20","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","11","21","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","11","22","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","11","23","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","11","24","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","11","25","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2004","11","26","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","11","27","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","11","28","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","11","29","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","11","30","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","12","1","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","12","2","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","12","3","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","12","4","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","12","5","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","12","6","00:00","Cloudiness cannot be determined (9/8)"
"Siilinjärvi Kuopio airport","2004","12","7","00:00","Cloudiness cannot be determined (9/8)"
"Siilinjärvi Kuopio airport","2004","12","8","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","12","9","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","12","10","00:00","Cloudiness cannot be determined (9/8)"
"Siilinjärvi Kuopio airport","2004","12","11","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","12","12","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","12","13","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","12","14","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","12","15","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","12","16","00:00","Cloudiness cannot be determined (9/8)"
"Siilinjärvi Kuopio airport","2004","12","17","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","12","18","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","12","19","00:00","-"
"Siilinjärvi Kuopio airport","2004","12","20","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","12","21","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","12","22","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","12","23","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","12","24","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","12","25","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","12","26","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2004","12","27","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","12","28","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","12","29","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","12","30","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","12","31","00:00","Mostly cloudy (7/8)"
